decimalLat,decimalLon,species,kingdom
47.139589999999998,7.289600000000000,Buddleja davidii,Plantae
47.134320000000002,7.286930000000000,Lilium martagon,Plantae
47.138399999999997,7.281170000000000,Erigeron annuus,Plantae
47.138399999999997,7.281170000000000,Buddleja davidii,Plantae
47.126100000000001,7.263400000000000,Euonymus fortunei,Plantae
47.138869999999997,7.264690000000000,Prunus laurocerasus,Plantae
47.138460000000002,7.286890000000000,Buddleja davidii,Plantae
47.125050000000002,7.262350000000000,Robinia pseudoacacia,Plantae
47.125959999999999,7.263350000000000,Prunus laurocerasus,Plantae
47.126159999999999,7.269160000000000,Viburnum rhytidophyllum,Plantae
47.127800000000001,7.275350000000000,Prunus laurocerasus,Plantae
47.139780000000002,7.272620000000000,Robinia pseudoacacia,Plantae
47.124510000000001,7.261420000000000,Erigeron annuus,Plantae
47.138469999999998,7.283440000000000,Erigeron annuus,Plantae
47.124780000000001,7.262640000000000,Senecio inaequidens,Plantae
47.124549999999999,7.261900000000000,Erigeron annuus,Plantae
47.124820000000000,7.261610000000000,Erigeron annuus,Plantae
47.125070000000001,7.262320000000000,Robinia pseudoacacia,Plantae
47.125349999999997,7.262730000000000,Robinia pseudoacacia,Plantae
47.125599999999999,7.263240000000000,Ailanthus altissima,Plantae
47.138249999999999,7.286980000000000,Buddleja davidii,Plantae
47.125630000000001,7.262910000000000,Rubus armeniacus,Plantae
47.124780000000001,7.261660000000000,Erigeron annuus,Plantae
47.125169999999997,7.264020000000000,Robinia pseudoacacia,Plantae
47.124459999999999,7.261920000000000,Senecio inaequidens,Plantae
47.125680000000003,7.263480000000000,Erigeron annuus,Plantae
47.131120000000003,7.277800000000000,Robinia pseudoacacia,Plantae
47.125109999999999,7.262340000000000,Erigeron annuus,Plantae
47.138010000000001,7.275800000000000,Erigeron annuus,Plantae
47.125509999999998,7.261620000000000,Erigeron annuus,Plantae
47.124549999999999,7.261900000000000,Senecio inaequidens,Plantae
47.124620000000000,7.261350000000000,Senecio inaequidens,Plantae
47.138039999999997,7.277730000000000,Erigeron annuus,Plantae
47.125520000000002,7.261560000000000,Erigeron annuus,Plantae
47.127319999999997,7.269950000000000,Prunus laurocerasus,Plantae
47.127440000000000,7.269720000000000,Prunus laurocerasus,Plantae
47.127420000000001,7.269770000000000,Prunus laurocerasus,Plantae
47.138089999999998,7.273080000000000,Robinia pseudoacacia,Plantae
47.139139999999998,7.290010000000000,Buddleja davidii,Plantae
47.137070000000001,7.267250000000000,Solidago canadensis,Plantae
47.125419999999998,7.263490000000000,Erigeron annuus,Plantae
47.138620000000003,7.273430000000000,Robinia pseudoacacia,Plantae
47.138120000000001,7.273560000000000,Robinia pseudoacacia,Plantae
47.138440000000003,7.268750000000000,Solidago canadensis,Plantae
47.136710000000001,7.267250000000000,Buddleja davidii,Plantae
47.139490000000002,7.289500000000000,Erigeron annuus,Plantae
47.129970000000000,7.268080000000000,Prunus serotina,Plantae
47.137999999999998,7.270740000000000,Buddleja davidii,Plantae
47.132640000000002,7.266880000000000,Reynoutria japonica,Plantae
47.125140000000002,7.263760000000000,Solidago canadensis,Plantae
47.131509999999999,7.275880000000000,Solidago canadensis,Plantae
47.133499999999998,7.267440000000000,Robinia pseudoacacia,Plantae
47.138330000000003,7.277740000000000,Erigeron annuus,Plantae
47.139020000000002,7.277030000000000,Erigeron annuus,Plantae
47.139180000000003,7.278860000000000,Robinia pseudoacacia,Plantae
47.138489999999997,7.277620000000000,Erigeron annuus,Plantae
47.124540000000003,7.262960000000000,Asclepias syriaca,Plantae
47.135159999999999,7.262880000000000,Reynoutria japonica,Plantae
47.141500000000001,7.273760000000000,Prunus laurocerasus,Plantae
47.130859999999998,7.280470000000000,Heracleum mantegazzianum,Plantae
47.141010000000001,7.271380000000000,Reynoutria japonica,Plantae
47.132689999999997,7.279740000000000,Buddleja davidii,Plantae
47.137540000000001,7.269540000000000,Prunus laurocerasus,Plantae
47.137760000000000,7.270120000000000,Prunus laurocerasus,Plantae
47.124699999999997,7.261650000000000,Senecio inaequidens,Plantae
47.125239999999998,7.262740000000000,Robinia pseudoacacia,Plantae
47.125430000000001,7.263610000000000,Solidago gigantea,Plantae
47.140500000000003,7.270620000000000,Prunus laurocerasus,Plantae
47.138430000000000,7.275120000000000,Buddleja davidii,Plantae
47.141300000000001,7.272750000000000,Prunus laurocerasus,Plantae
47.124459999999999,7.261920000000000,Solidago gigantea,Plantae
47.131680000000003,7.276640000000000,Solidago canadensis,Plantae
47.132719999999999,7.270430000000000,Paulownia tomentosa,Plantae
47.131019999999999,7.269160000000000,Solidago canadensis,Plantae
47.140270000000001,7.270000000000000,Prunus laurocerasus,Plantae
47.139350000000000,7.267500000000000,Prunus laurocerasus,Plantae
47.140529999999998,7.270960000000000,Prunus laurocerasus,Plantae
47.138150000000003,7.270520000000000,Solidago canadensis,Plantae
47.137020000000000,7.268080000000000,Robinia pseudoacacia,Plantae
47.137509999999999,7.276150000000000,Reynoutria japonica,Plantae
47.131509999999999,7.275880000000000,Erigeron annuus,Plantae
47.131720000000001,7.275850000000000,Buddleja davidii,Plantae
47.131680000000003,7.276640000000000,Erigeron annuus,Plantae
47.138480000000001,7.287070000000000,Buddleja davidii,Plantae
47.125129999999999,7.262810000000000,Robinia pseudoacacia,Plantae
47.138320000000000,7.267930000000000,Solidago canadensis,Plantae
47.133299999999998,7.269330000000000,Buddleja davidii,Plantae
47.138520000000000,7.272530000000000,Robinia pseudoacacia,Plantae
47.138399999999997,7.268620000000000,Solidago canadensis,Plantae
47.138179999999998,7.271260000000000,Solidago canadensis,Plantae
47.134560000000000,7.264760000000000,Prunus laurocerasus,Plantae
47.137140000000002,7.268160000000000,Robinia pseudoacacia,Plantae
47.137770000000003,7.268980000000000,Elodea nuttallii,Plantae
47.130859999999998,7.280470000000000,Robinia pseudoacacia,Plantae
47.130859999999998,7.280470000000000,Impatiens glandulifera,Plantae
47.130859999999998,7.280470000000000,Reynoutria japonica,Plantae
