Group,Scientific Name,French Name,Red List Status,Priority in Switzerland
Papillons diurnes et Zygaenidae,Limenitis populi,Grand sylvain,VU,4
Papillons diurnes et Zygaenidae,Lopinga achine,Bacchante,EN,2
Macrolépidoptères et sésies,Endromis versicolora,Bombyx versicolore,EN (2),3
Macrolépidoptères et sésies,Eriogaster catax,Bombyx Evérie,CR (1),2
Macrolépidoptères et sésies,Gastropacha populifolia,Feuille-morte du peuplier,CR (1),1
Macrolépidoptères et sésies,Odonestis pruni,Feuille-morte du prunier,EN (2),3
Macrolépidoptères et sésies,Orgyia recens,Soucieuse,CR (1),1
Amphibiens,Bombina variegata,Sonneur à ventre jaune,EN,3
Amphibiens,Lissotriton helveticus,Triton palmé,VU,4
Amphibiens,Rana dalmatina,Grenouille agile,EN,3
Amphibiens,Rana latastei,Grenouille de Lataste,VU,4
Amphibiens,Salamandra salamandra,Salamandre tachetée,VU,4
Amphibiens,Triturus carnifex,Triton crêté italien,EN,3
Amphibiens,Triturus cristatus,Triton crêté,EN,3
Reptiles,Coronella austriaca,Coronelle lisse,VU,4
Reptiles,Natrix helvetica,"Couleuvre à collier hel-
vétique",VU,3
Reptiles,Natrix natrix,"Couleuvre à collier 
nordique",EN,3
Reptiles,Vipera aspis,Vipère aspic,VU,2
Reptiles,Vipera berus,Vipère péliade,EN,3
Reptiles,Zamenis longissimus,Couleuvre d’Esculape,EN,3
Chiroptères,Barbastella barbastellus,Barbastelle d'Europe,EN,3
Chiroptères,Eptesicus nilssonii,Sérotine boréale,VU,1
Chiroptères,Eptesicus serotinus,Sérotine commune,VU,1
Chiroptères,Myotis alcathoe,Murin d'Alcathoé,VU,4
Chiroptères,Myotis bechsteinii,Murin de Bechstein,VU,4
Chiroptères,Myotis brandtii,Murin de Brandt,VU,1
Chiroptères,Myotis myotis,Grand murin,VU,1
Chiroptères,Plecotus auritus,Oreillard brun,VU,1
Chiroptères,Plecotus macrobullaris,Oreillard alpin,EN,1
Chiroptères,Rhinolophus hipposideros,Petit rhinolophe,EN,1
Oiseaux,Bonasa bonasia,Gélinotte des bois,NT,1
Oiseaux,Caprimulgus europaeus,Engoulevent d'Europe,EN,1
Oiseaux,Lyrurus tetrix,Tétras lyre,NT,1
Oiseaux,Phoenicurus phoenicurus,Rougequeue à front blanc,NT,1
Oiseaux,Picus canus,Pic cendré,VU,1
Oiseaux,Scolopax rusticola,Bécasse des bois,VU,1
Oiseaux,Tetrao urogallus,Grand tétras,EN,1
Lichens,Arthonia byssacea,Lichen tache de byssus,VU,4
Lichens,Bacidia fraxinea,Lichen pastille du frêne,CR,2
Lichens,Bactrospora dryina,Lichen manteau de chêne,VU,3
Lichens,Buellia alboatra,Lichen double-coupe noir sur blanc,EN,3
Lichens,Calicium adspersum,Lichen clou doré,VU,4
Lichens,Caloplaca chrysophthalma,Lichen confettis à soralies jaunes,EN,3
Lichens,Caloplaca lucifuga,Lichen confettis lucifuge,EN,3
Lichens,Caloplaca obscurella,Lichen confettis obscure,VU,4
Lichens,Catapyrenium daedaleum,Lichen cuir labyrinthe,VU,4
Lichens,Cetraria oakesiana,Lichen passerelle grise,EN,2
Lichens,Cetraria sepincola,Lichen à boucliers bruns,EN,3
Lichens,Chaenotheca phaeocephala,Lichen épingle vert olive,VU,4
Lichens,Cladonia acuminata,Lichen paratonnerre,VU,4
Lichens,Cladonia foliacea,Lichen à feuilles jaunes dessous,VU,4
Lichens,Cladonia furcata ssp. subrangiformis,Lichen corne cassée,EN,3
Lichens,Collema subflaccidum,Cyanolichen subflasque,EN,3
Lichens,Fulgensia fulgens,Lichen soufre foliacé,VU,4
Lichens,Fulgensia subbracteata,Lichen soufre à squamules,EN,3
Lichens,Gyalecta flotowii,Lichen ventouse des feuillus,EN,3
Lichens,Gyalecta ulmi,Lichen ventouse de l'orme,EN,3
Lichens,Heppia adglutinata,Lichen cuves de tannerie agglutinées,VU,3
Lichens,Leptogium hildenbrandii,Cyanolichen ridé,EN,2
Lichens,Leptogium teretiusculum,Cyanolichen petit corail,EN,3
Lichens,Lobaria pulmonaria,Lichen poumon officinal,VU,4
Lichens,Lobaria scrobiculata,Lichen poumon de mineur,EN,3
Lichens,Massalongia carnosa,Lichen patte de renard,CR,2
Lichens,Ochrolechia pallescens,Lichen donut sugar ice,EN,3
Lichens,Parmelia minarum,Lichen puzzle rugueux,EN,2
Lichens,Parmelia reticulata,Lichen berceau gravé,CR,2
Lichens,Parmotrema arnoldii,Lichen berceau argenté,VU,4
Lichens,Parmotrema crinitum,Lichen berceau crénelé,VU,4
Lichens,Parmotrema stuppeum,Lichen berceau poudré,EN,3
Lichens,Pertusaria flavida,Lichen nappe jaune,EN,3
Lichens,Pertusaria oculata,Lichen tapis à poils courts,CR,2
Lichens,Pertusaria pertusa,Lichen pore globuleux,EN,3
Lichens,Rinodina isidioides,Lichen petit bouclier isidié,EN,3
Lichens,Rinodina roboris,Lichen petit bouclier du chêne,EN,3
Lichens,Schismatomma decolorans,Lichen poudre lilas,VU,4
Lichens,Solorinella asteriscus,Lichen étoile des sables,EN,2
Lichens,Strigula mediterranea,Lichen pointe de colère,CR,2
Lichens,Thelopsis rubella,Lichen téton canelle,EN,3
Lichens,Usnea florida,Lichen barbe fleurie,EN,3
Lichens,Usnea glabrata,Lichen barbe lisse,EN,3
Champignons,Boletus pseudoregius,Bolet faux royal,EN,3
Champignons,Boletus torosus,Bolet de plomb,EN,3
Champignons,Chalciporus amarellus,Bolet nain,VU,4
Champignons,Chalciporus pseudorubinus,,CR,2
Champignons,Clavaria zollingeri,Clavaire de Zollinger,EN,3
Champignons,Geastrum melanocephalum,,EN,3
Champignons,Hygrophorus latitabundus,Hygrophore limace,VU,4
Champignons,Hygrophorus ligatus,,VU,4
Champignons,Inonotus rheades,Polypore roux,EN,3
Champignons,Sarcodon joeides,Sarcodon violet,EN,3
Champignons,Tricholoma colossus,Tricholome colossal,EN,3
Champignons,Tricholoma focale,Tricholome focale,EN,3
Mousses,Ditrichum pallidum,Ditric pâle,EN,3
Mousses,Orthotrichum rogeri,Houppe de Roger,VU,3
Mousses,Orthotrichum scanicum,Houppe de Scanie,CR,1
Mousses,Polytrichum nanum,Perce-mousse nain,CR,2
Plantes vasculaires,Agrimonia procera,Aigremoine odorante,VU,4
Plantes vasculaires,Anemone sylvestris,Anémone des forêts,CR,2
Plantes vasculaires,Anthemis triumfettii,Anthémis de Trionfetti,VU,4
Plantes vasculaires,Asparagus tenuifolius,Asperge à feuilles étroites,VU,4
Plantes vasculaires,Asperula tinctoria,Aspérule des teinturiers,EN,3
Plantes vasculaires,Asphodelus albus,Asphodèle blanc,VU,4
Plantes vasculaires,Asplenium foreziense,Capillaire du Forez,EN,2
Plantes vasculaires,Botrychium matricariifolium,Botryche à feuilles de matricaire,CR,1
Plantes vasculaires,Botrychium virginianum,Botryche de Virginie,CR,1
Plantes vasculaires,Bupleurum longifolium,Buplèvre à longues feuilles,VU,4
Plantes vasculaires,Calamintha ascendens,Sarriette ascendante,VU,4
Plantes vasculaires,Campanula bertolae,Campanule de Bertola,EN,3
Plantes vasculaires,Campanula bononiensis,Campanule de Bologne,VU,4
Plantes vasculaires,Campanula cervicaria,Campanule hérissée,EN,3
Plantes vasculaires,Carex depauperata,Laiche appauvrie,EN,3
Plantes vasculaires,Carpesium cernuum,Carpésium penché,EN,3
Plantes vasculaires,Centaurea nemoralis,Centaurée des bois,EN,3
Plantes vasculaires,Chamaecytisus hirsutus,Petit cytise hérissé,VU,4
Plantes vasculaires,Chamaecytisus supinus,Petit cytise couché,VU,4
Plantes vasculaires,Cirsium tuberosum,Cirse tubéreux,VU,4
Plantes vasculaires,Cistus salviifolius,Ciste à feuilles de sauge,VU,3
Plantes vasculaires,Cnidium silaifolium,Cnide à feuilles de silaüm,VU,4
Plantes vasculaires,Coronilla minima,Petite coronille,VU,4
Plantes vasculaires,Cruciata pedemontana,Croisette du Piémont,VU,4
Plantes vasculaires,Cypripedium calceolus,Sabot de Vénus,VU,4
Plantes vasculaires,Cytisus emeriflorus,Cytise bergamasque,EN,1
Plantes vasculaires,Daphne cneorum,Daphné camélée,VU,4
Plantes vasculaires,Dictamnus albus,Dictame blanc,VU,4
Plantes vasculaires,Diphasiastrum complanatum,Lycopode aplati,EN,2
Plantes vasculaires,Doronicum pardalianches,Doronic pardalianche,VU,4
Plantes vasculaires,Dorycnium germanicum,Dorycnium d'Allemagne,VU,3
Plantes vasculaires,Dorycnium herbaceum,Dorycnium herbacé,EN,3
Plantes vasculaires,Epipactis fageticola,Épipactis étoilé,VU,4
Plantes vasculaires,Epipactis placentina,Épipactis de Plaisance,EN,3
Plantes vasculaires,Epipactis rhodanensis,Épipactis du Rhône,VU,4
Plantes vasculaires,Euphrasia cisalpina,Euphraise du Tessin,VU,2
Plantes vasculaires,Fragaria moschata,Fraisier musqué,VU,4
Plantes vasculaires,Galeopsis speciosa,Galéopsis splendide,VU,4
Plantes vasculaires,Galium laevigatum,Gaillet lisse,NT,4
Plantes vasculaires,Ligusticum lucidum,Ligustique luisante,EN,2
Plantes vasculaires,Lonicera etrusca,Chèvrefeuille de Toscane,NT,4
Plantes vasculaires,Melampyrum nemorosum,Mélampyre des bois,EN,2
Plantes vasculaires,Mespilus germanica,Néflier d'Allemagne,VU,4
Plantes vasculaires,Odontites viscosus,Odontitès visqueux,VU,3
Plantes vasculaires,Onosma helvetica,Onosma de Suisse,EN,1
Plantes vasculaires,Onosma pseudoarenaria,Onosma du Valais,VU,3
Plantes vasculaires,Ophrys insectifera,Ophrys mouche,VU,4
Plantes vasculaires,Orchis pallens,Orchis pâle,VU,4
Plantes vasculaires,Orchis provincialis,Orchis de Provence,CR,2
Plantes vasculaires,Orchis purpurea,Orchis pourpré,VU,4
Plantes vasculaires,Orobanche lucorum,Orobanche de l'épine-vinette,EN,3
Plantes vasculaires,Orobanche salviae,Orobanche de la sauge,EN,3
Plantes vasculaires,Paeonia officinalis,Pivoine officinale,VU,4
Plantes vasculaires,Peucedanum austriacum subsp. rablense,Peucédan de Raible,VU,3
Plantes vasculaires,Peucedanum venetum,Peucédan de Vénétie,VU,4
Plantes vasculaires,Phyteuma scorzonerifolium,Raiponce à feuilles de scorsonère,VU,4
Plantes vasculaires,Pisum sativum subsp. biflorum,Pois élevé,VU,4
Plantes vasculaires,Pleurospermum austriacum,Pleurosperme d'Autriche,VU,4
Plantes vasculaires,Potentilla alba,Potentille blanche,VU,4
Plantes vasculaires,Potentilla heptaphylla,Potentille à sept folioles,VU,4
Plantes vasculaires,Pulmonaria montana subsp. jurana,Pulmonaire du Jura,NT,3
Plantes vasculaires,Pyrola chlorantha,Pyrole verdâtre,VU,4
Plantes vasculaires,Pyrus nivalis,Poirier des neiges,VU,4
Plantes vasculaires,Rhamnus saxatilis,Nerprun des rochers,VU,4
Plantes vasculaires,Rosa abietina,Rosier des sapins,NT,3
Plantes vasculaires,Rosa chavinii,Rosier de Chavin,VU,2
Plantes vasculaires,Rosa elliptica,Rosier à feuilles elliptiques,VU,4
Plantes vasculaires,Rosa gallica,Rosier de France,EN,3
Plantes vasculaires,Rosa jundzillii,Rosier de Jundzill,EN,3
Plantes vasculaires,Rosa majalis,Rosier cannelle,VU,2
Plantes vasculaires,Rosa sherardii,Rosier de Sherard,NT,4
Plantes vasculaires,Rosa stylosa,Rosier à styles soudés,EN,3
Plantes vasculaires,Rosa tomentella,Rosier à feuilles obtuses,VU,4
Plantes vasculaires,Salix apennina,Saule des Apennins,VU,3
Plantes vasculaires,Serratula tinctoria subsp. tinctoria,Serratule des teinturiers,VU,4
Plantes vasculaires,Silene nutans subsp. insubrica,Silène livide,NT,4
Plantes vasculaires,Sorbus domestica,Sorbier domestique,EN,3
Plantes vasculaires,Staphylea pinnata,Staphylier penné,VU,4
Plantes vasculaires,Stellaria longifolia,Stellaire à longues feuilles,EN,2
Plantes vasculaires,Thesium linophyllon,Thésium à feuilles de lin,VU,4
Plantes vasculaires,Thesium rostratum,Thésium rostré,EN,3
Plantes vasculaires,Trientalis europaea,Trientalis d'Europe,VU,3
Plantes vasculaires,Trochiscanthes nodiflora,Trochiscanthe nodiflore,VU,4
Plantes vasculaires,Veratrum nigrum,Vératre noir,EN,3
Plantes vasculaires,Vicia pisiformis,Vesce à feuilles de pois,CR,2
Plantes vasculaires,Viola pinnata,Violette pennée,NT,4
Plantes vasculaires,Vitis sylvestris,Vigne sauvage,CR,2
Cigales,Cicadetta cantilatrix,Cigale mélodieuse,VU,4
Cigales,Cicadetta petryi,Cigalette à ailes courtes,EN,3
Cigales,Cicadetta sibillae,Cigalette d'Italie,EN,3
Cigales,Lyristes plebejus,Cigale plébéienne,VU,4
Cigales,Tettigettalna argentata,Cigalette argentée,CR,2
Cigales,Tibicina haematodes,Cigale rouge,EN,3
Cigales,Tibicina quadrisignata,Cigale quadri-signée,EN,2
Cigales,Tibicina steveni,Cigale de Steven,EN,2
Orthoptères,Pachytrachis striolatus,Decticelle striolée,CR,2
Coléoptères du bois,Acanthocinus aedilis,Acanthocine édile,EN,3
Coléoptères du bois,Acmaeodera degener,Coroèbe ondé,CR,1
Coléoptères du bois,Aegosoma scabricorne,Ægosome scabricorne,EN,3
Coléoptères du bois,Anoplodera rufipes,Lepture à pattes rousses,CR,2
Coléoptères du bois,Anthaxia candens,Anthaxie étincelante,VU,4
Coléoptères du bois,Anthaxia manca,Anthaxie mutilée,EN,3
Coléoptères du bois,Cerambix miles,Capricorne soldat,RE,2
Coléoptères du bois,Cerambyx cerdo,Grand capricorne du chêne,CR,2
Coléoptères du bois,Chalcophora mariana,Marien-Prachtkäfer,EN,3
Coléoptères du bois,Chlorophorus sartor,Clyte sarcleur,EN,3
Coléoptères du bois,Coraebus undatus,Coroèbe ondé,EN,3
Coléoptères du bois,Dicerca berolinensis,Dicerque berlinois,CR,1
Coléoptères du bois,Dicerca moesta,Dicerque triste,CR,1
Coléoptères du bois,Ergates faber,Ergate ouvrier,EN,3
Coléoptères du bois,Eurythyrea quercus,Richard du chêne,CR,1
Coléoptères du bois,Lamprodila rutilans,Scintillante rutilante,VU,4
Coléoptères du bois,Lucanus cervus cervus,Lucane cerf-volant,VU,4
Coléoptères du bois,Menesia bipunctata,Ménésie à deux points,VU,3
Coléoptères du bois,Poecilium glabratum,Phymatode glabre,EN,2
Coléoptères du bois,Poecilonota variolosa,Poecilonote bigarré,VU,4
Coléoptères du bois,Rhagium sycophanta,Rhagie sycophante,EN,3
Coléoptères du bois,Rhamnusium bicolor,Rhamnusie bicolore,CR,2
Coléoptères du bois,Ropalopus ungaricus,Ropalope hongrois,CR,2
Coléoptères du bois,Rosalia alpina,Rosalie des Alpes,VU,4
Coléoptères du bois,Stictoleptura cordigera,Lepture porte coeur,CR,2
Autres coléoptères,Gnorimus variabilis,,EN,3
Autres coléoptères,Osmoderma eremita,Pique prune,CR,2
Autres coléoptères,Protaetia affinis affinis,Cétoine verte,EN,2
Autres coléoptères,Protaetia lugubris,,CR,2
Autres coléoptères,Potosia cuprea,Cétoine marbrée,VU,4
Autres coléoptères,Protaetia marmorata,Grande cétoine dorée,EN,3
Papillons diurnes et Zygaenidae,Hamearis lucina,Petit Mars changeant,VU,4
Papillons diurnes et Zygaenidae,Hipparchia fagi,Sylvandre,EN,3
