Latein,Français,Jura,Plateau,Versant Nord des Alpes,Alpes centrales Ouest,Alpes centrales Est,Versant Sud des Alpes,non établi en Suisse,1 Eaux libres,2 Rivages et lieu humides,"3 Glaciers, rochers, éboulis et moraines",4 Pelouses et prairies,"5 Landes, lisières et mégaphorbiaies",6 Forêts,7 Végétations pionnières des endroits perturbés,"8 Plantations, champs, cultures",9 Milieux construits,Potentiel d'expansion,santé,"écologie, biodiversité",économie,"Präventionscharakter (hoch=1, mittel=2, gering=3)","Regionale Wichtigkeit (hoch=1, mittel=2, gering=3)","Lack List / Watch List ""old""",Black List / Watch List 2014,Ordonnonce sur la dissémination des organismes (ODE)
Abutilon theophrasti Medik.,Abutilon de Théophraste,x,x,x,,,x,,,,,,,,1,1,1,xxx,o,x,xxx,2,2,-,BL,-
Ailanthus altissima (Mill.) Swingle,Ailante,xx,xxx,x,xx,x,xxx,,,,,,1,1,1,,1,xxx,x,xx,xx,3,3,BL,BL,-
Ambrosia artemisiifolia L.,Ambroisie à feuilles d'armoise,xxx,xxx,x,xx,x,xxx,1,,,,1,,,1,1,1,xxx,xxx,(x),xxx,3,2,BL,BL,ODE
Amorpha fruticosa L.,Amorphe buissonnante,x,(x),,,,xx,,,,,,1,1,1,,,xxx,o,xxx,xx,1,1,WL,BL,-
Artemisia verlotiorum Lamotte,Armoise des frères Verlot,xx,xxx,xx,xx,x,xxx,,,,,,,1,1,1,1,xxx,x(?),xx,xx,3,3,BL,BL,-
Asclepias syriaca L.,Asclépiade de Syrie,x,x,,,,xx,,,,,,,,1,1,1,xxx,o,xxx,xxx,1,1,WL,BL,-
Buddleja davidii Franch.,Buddléia de David,xxx,xxx,xxx,xx,xx,xxx,,,1,,,1,1,1,1,1,xxx,o,xxx,x,3,3,BL,BL,-
Bunias orientalis L.,Bunias d'Orient,xxx,xx,,xxx,xx,x,,,,,1,,,1,,1,xxx,x,xx,xxx,2,2,WL,BL,-
Cabomba caroliniana A. Gray,"Cabomba, Evantail de Caroline",,,,,,,x,1,,,,,,,,,xxx,o,xxx,xxx,1,,-,BL,-
Crassula helmsii (Kirk) Cockayne,Crassule de Helm,,,,,,,x,1,,,,,,,,,xxx,o,xxx,xxx,1,,-,BL,ODE
Cyperus esculentus L.,Souchet comestible,x,xx,,,,xxx,,,,,1,,,1,1,,xxx,o,o,xxx,2,2,WL,BL,-
Echinocystis lobata (Michx.) Torr. & A. Gray,"Concombre sauvage, C. piquant",,,,,,,x,,1,,,1,1,1,1,,xxx,o,xxx,xx,1,,-,BL,-
Elodea canadensis Michx.,Elodée du Canada,xxx,xxx,xx,x,x,x,,1,,,,,,,,,xx,o,xxx,xxx,3,3,BL,BL,-
Elodea nuttallii (Planch.) H. St. John,Elodée de Nuttall,x,xxx,x,,,x,,1,,,,,,,,,xxx,o,xxx,xxx,3,3,BL,BL,ODE
Erigeron annuus (L.) Desf. s.l.,Vergerette annuelle,xxx,xxx,xx,xx,xx,xxx,,,,,1,,,1,1,1,xxx (?),o,xxx,xx,3,3,WL,BL,-
Heracleum mantegazzianum Sommier & Levier,Berce du Caucase,xxx,xxx,xxx,xxx,xx,xxx,,,1,,,1,1,1,,1,xx,xxx,xxx,xx,3,3,BL,BL,ODE
Hydrocotyle ranunculoides L. f.,Hydrocotyle fausse-renoncule,,,,,,,x,1,1,,,,,,,,xxx,o,xxx,xxx,1,,-,BL,ODE
Impatiens glandulifera Royle,Impatiente glanduleuse,xxx,xxx,xx,x,x,xxx,,,,,,1,1,1,,,xxx,o,xxx,xx,3,3,BL,BL,ODE
Lonicera henryi Hemsl.,Chèvrefeuille de Henry,,xx,,,,,,,,,,,1,,,,xxx,o,xxx,xx,1,1,WL,BL,-
Lonicera japonica Thunb.,Chèvrefeuille du Japon,x,xx,,x,,xxx,,,,,,1,1,,,,xxx,o,xxx,xxx,1,2,BL,BL,-
Ludwigia grandiflora (Michx.) Greuter & Burdet,Jussie à grandes fleurs,,(x),,,,,,1,,,,,,,,,xxx,o,xxx,xxx,1,,BL,BL,ODE
Ludwigia peploides (Kunth)  P. H. Raven,Jussie rampante,,,,,,,x,1,,,,,,,,,xxx,o,xxx,xxx,1,,-,BL,ODE
Lupinus polyphyllus Lindl.,Lupin à folioles nombreuses,x,x,xx,xx,x,x,,,,,1,1,1,,,,xxx,o,xxx,xx,2,3,WL,BL,-
Myriophyllum aquaticum (Vell.) Verdc.,Myriophylle aquatique,x,(x),,,,,,1,,,,,,,,,xxx (?),o,xxx,xxx,1,3,-,BL,-
Polygonum polystachyum Meisn.,Renouée à épis nombreux,x,xx,,x,x,xx,,,,,,1,,1,,,xxx,o,xxx,xxx,2,3,BL,BL,ODE
Prunus laurocerasus L.,Laurier-cerise,xx,xxx,,,,xxx,,,,,,,1,,,,xxx,xx,xxx,xx,3,3,BL,BL,-
Prunus serotina Ehrh.,Merisier tardif,x,x,,,,xxx,,,,,,1,1,,,,xxx,xx,xx,xx,2,3,BL,BL,-
Pueraria lobata (Willd.) Ohwi,Puéraire hérissée,,,,,,xxx,,,,,,1,,1,,1,xxx,o,xxx,xxx,3,1,BL,BL,-
Reynoutria japonica Houtt.,Renouée du Japon,xxx,xxx,xxx,xx,xx,xxx,,,1,,,1,,1,,1,xxx,o,xxx,xxx,3,3,BL,BL,ODE
Reynoutria sachalinensis (F. Schmidt) Nakai,Renouée de Sakhaline,xx,xx,,x,,x,,,1,,,1,,1,,1,xxx,o,xxx,xxx,BL,BL,BL,BL,ODE
Reynoutria ×bohemica Chrtek & Chrtková,Renouée de Bohême,xx,xx,,,,xxx,,,1,,,1,,1,,1,xxx,o,xxx,xxx,3,3,BL,BL,ODE
Rhus typhina L.,Sumac,xxx,xxx,x,xx,x,xxx,,,,,,,1,1,,1,xxx,xx,xxx,xx,3,,BL,BL,ODE
Robinia pseudoacacia L.,Robinier,xxx,xxx,xx,xxx,xxx,xx,,,,,1,,1,1,,,xxx,x,xxx,xx,3,3,BL,BL,-
Rubus armeniacus Focke,Ronce d'Arménie,xxx,xxx,,,,xx,,,,,,1,1,1,,1,xxx,o,xxx,xxx,1,2,BL,BL,-
Senecio inaequidens DC.,Séneçon sud-africain,xx,xxx,x,xx,x,xxx,,,,,1,,,1,1,1,xxx,xxx,xx,xx,3,3,BL,BL,ODE
Sicyos angulatus L.,Sicyos anguleux,,,,,,x,x,,,,,1,1,1,,,xxx,o,xxx,xx,1,,-,BL,-
Solanum carolinense L.,Morelle de Caroline,,,,,,,x,,,,1,,,1,1,1,xxx,xxx,x,xxx,1,,-,BL,-
Solidago canadensis L.,Solidage du Canada,xxx,xxx,xx,xx,xx,xxx,,,1,,1,1,1,1,1,1,xxx,x,xxx,xx,3,3,BL,BL,ODE
Solidago gigantea Aiton,Solidage géant,xxx,xxx,xx,xx,xx,xxx,,,1,,1,1,1,1,1,1,xxx,x,xxx,xx,3,3,BL,BL,ODE
Solidago nemoralis Aiton,Solidage des bois,,,,,,,x,,1,,1,1,1,1,1,1,x,x,xxx,xx,,,BL,BL,ODE
Toxicodendron radicans (L.) Kuntze,Arbre à la gale,,,,,,(x),x,,,,,1,1,1,,,xxx (?),xxx,o (?),xx,1,,-,BL,-
Trachycarpus fortunei (Hook.) H. Wendl.,Palmier chanvre,,x,,,,xxx,,,,,,1,1,1,,1,xxx,o,xxx,xx,1,2,WL,BL,-
Acacia dealbata Link,Mimosa blanchâtre,,,,,,xx,,,,,,,1,1,,1,xx,xx,xxx,x,1,1,-,WL,-
"Aster novi-belgii aggr. (A. lanceolatus, A. novi-belgii, A. x salignus, A. tradescantii, A. x versicolor)","Aster lancéolé, Aster de la Nouvelle-Belgique",xx,xx,,x,,xx,,,,,1,,,1,1,1,xxx,o,xx,x,1,,-,WL,-
Bassia scoparia (L.) A. J. Scott,Bassie à balais,x,x,,xxx,,,,,,,,,,1,1,1,xx (?),x,x,xx,1,2,WL,WL,-
Cornus sericea L.,Cornouiller soyeux,x,xx,,,,,,,,,,,1,1,,1,xx,o,xxx,x,1,2,WL,WL,-
Galega officinalis L.,Galéga officinal,x,xx,,x,,x,,,,,1,1,1,1,,,x,xx,x,x,1,2,-,WL,-
Helianthus tuberosus L.,Topinambour,x,xx,x,x,x,xx,,,,,,1,,1,,,xxx,o,xx,xx,1,3,WL,WL,-
Impatiens balfourii Hook. f.,Impatiente bicolore,x,xx,x,x,,xx,,,1,,,1,1,1,,1,xx,0,xx,x,1,3,WL,WL,-
Lysichiton americanus Hultén & H. St. John,Lysichite jaune,,(x),,,,,,,1,,,,,,,,xx,o,xx,x,1,,BL,WL,-
Opuntia humifusa (Raf.) Raf.,Figuier d'Inde,,x,,xx,x,x,,,,,1,1,,1,,,xx (x),o,xx,x,1,1,-,WL,-
Parthenocissus inserta (A. Kern.) Fritsch (+ P. quinquefolia*),Vigne vierge commune,x,xx,,x,,x,,,,,,1,1,,,1,xxx,x,x,xx,1,3,WL,WL,-
Paulownia tomentosa (Thunb.) Steud.,Paulownia,x,xx,,x,,xx,,,,,,,,1,,1,xxx,o,xx,xx,1,3,WL,WL,-
Phytolacca americana L.,Raisin d'Amérique,x,x,,,,xxx,,,,,,1,,1,,,xxx,xx,xx,xx,1,2,WL,WL,-
Sagittaria latifolia Willd.,Sagittaire à larges feuilles,x,x,,,,x,,,1,,,,,,,,xxx (?),o,xx,xx,1,2,-,WL,-
Sedum spurium M. Bieb.,Orpin bâtard,xx,xx,x,x,x,x,,,,,1,,,1,,1,xx (?),o,xx,x,1,3,WL,WL,-
Sedum stoloniferum S. G. Gmel.,Orpin stolonifère,,xx,,,,,,,,,1,,,,,,xx (?),o,xx,xx,1,3,WL,WL,-
Symphoricarpos albus (L.) S. F. Blake,Symphorine blanche,xxx,xx,,,,,,,,,,1,1,,,,xxx (?),x,xx,x,1,3,-,WL,-
