"Species","Family","N5","Last year","Map"
"Aglais io  (Linnaeus, 1758)","Nymphalidae","585215","2022","Show (ancien)"
"Aglais urticae  (Linnaeus, 1758)","Nymphalidae","585215","2022","Show (ancien)"
"Anthocharis cardamines  (Linnaeus, 1758)","Pieridae","585215","2022","Show (ancien)"
"Apatura ilia  (Denis & Schiffermüller, 1775)","Nymphalidae","585215","1983","Show (ancien)"
"Apatura iris  (Linnaeus, 1758)","Nymphalidae","585215","2003","Show (ancien)"
"Aphantopus hyperantus  (Linnaeus, 1758)","Nymphalidae","585215","2020","Show (ancien)"
"Aporia crataegi  (Linnaeus, 1758)","Pieridae","585215","1909","Show (ancien)"
"Araschnia levana  (Linnaeus, 1758)","Nymphalidae","585215","2020","Show (ancien)"
"Argynnis paphia  (Linnaeus, 1758)","Nymphalidae","585215","2022","Show (ancien)"
"Aricia agestis  (Denis & Schiffermüller, 1775)","Lycaenidae","585215","1909","Show (ancien)"
"Boloria euphrosyne  (Linnaeus, 1758)","Nymphalidae","585215","1929","Show (ancien)"
"Brenthis daphne  (Denis & Schiffermüller, 1775)","Nymphalidae","585215","2020","Show (ancien)"
"Brintesia circe  (Fabricius, 1775)","Nymphalidae","585215","2018","Show (ancien)"
"Carcharodus alceae  (Esper, 1780)","Hesperiidae","585215","2016","Show (ancien)"
"Carterocephalus palaemon  (Pallas, 1771)","Hesperiidae","585215","1912","Show (ancien)"
"Celastrina argiolus  (Linnaeus, 1758)","Lycaenidae","585215","2023","Show (ancien)"
"Coenonympha pamphilus  (Linnaeus, 1758)","Nymphalidae","585215","2020","Show (ancien)"
"Colias alfacariensis  Ribbe, 1905","Pieridae","585215","1978","Show (ancien)"
"Colias crocea  (Fourcroy, 1785)","Pieridae","585215","2019","Show (ancien)"
"Colias hyale  (Linnaeus, 1758)","Pieridae","585215","2003","Show (ancien)"
"Cupido alcetas  (Hoffmannsegg, 1804)","Lycaenidae","585215","2022","Show (ancien)"
"Cupido argiades  (Pallas, 1771)","Lycaenidae","585215","2022","Show (ancien)"
"Cupido minimus  (Fuessly, 1775)","Lycaenidae","585215","2003","Show (ancien)"
"Euphydryas aurinia aurinia (Rottemburg, 1775)","Nymphalidae","585215","1912","Show (ancien)"
"Favonius quercus  (Linnaeus, 1758)","Lycaenidae","585215","2020","Show (ancien)"
"Gonepteryx rhamni  (Linnaeus, 1758)","Pieridae","585215","2023","Show (ancien)"
"Iphiclides podalirius  (Linnaeus, 1758)","Papilionidae","585215","2023","Show (ancien)"
"Issoria lathonia  (Linnaeus, 1758)","Nymphalidae","585215","2002","Show (ancien)"
"Lasiommata megera  (Linnaeus, 1767)","Nymphalidae","585215","2021","Show (ancien)"
"Leptidea sinapis  (Linnaeus, 1758)","Pieridae","585215","1909","Show (ancien)"
"Limenitis camilla  (Linnaeus, 1764)","Nymphalidae","585215","2022","Show (ancien)"
"Limenitis populi  (Linnaeus, 1758)","Nymphalidae","585215","1913","Show (ancien)"
"Lycaena phlaeas  (Linnaeus, 1761)","Lycaenidae","585215","2021","Show (ancien)"
"Lycaena tityrus  (Poda, 1761)","Lycaenidae","585215","1930","Show (ancien)"
"Maniola jurtina  (Linnaeus, 1758)","Nymphalidae","585215","2022","Show (ancien)"
"Melanargia galathea  (Linnaeus, 1758)","Nymphalidae","585215","2022","Show (ancien)"
"Melitaea athalia aggr.","Nymphalidae","585215","1909","Show (ancien)"
"Nymphalis antiopa  (Linnaeus, 1758)","Nymphalidae","585215","1909","Show (ancien)"
"Ochlodes sylvanus  (Esper, 1778)","Hesperiidae","585215","1996","Show (ancien)"
"Papilio machaon  Linnaeus, 1758","Papilionidae","585215","2022","Show (ancien)"
"Pararge aegeria  (Linnaeus, 1758)","Nymphalidae","585215","2022","Show (ancien)"
"Phengaris nausithous  (Bergsträsser, 1779)","Lycaenidae","585215","2023","Show (ancien)"
"Phengaris teleius  (Bergsträsser, 1779)","Lycaenidae","585215","1932","Show (ancien)"
"Pieris brassicae  (Linnaeus, 1758)","Pieridae","585215","2021","Show (ancien)"
"Pieris napi  (Linnaeus, 1758)","Pieridae","585215","2022","Show (ancien)"
"Pieris rapae  (Linnaeus, 1758)","Pieridae","585215","2022","Show (ancien)"
"Plebejus idas  (Linnaeus, 1761)","Lycaenidae","585215","1909","Show (ancien)"
"Polygonia c-album  (Linnaeus, 1758)","Nymphalidae","585215","2021","Show (ancien)"
"Polyommatus icarus  (Rottemburg, 1775)","Lycaenidae","585215","2020","Show (ancien)"
"Pyrgus malvae  (Linnaeus, 1758)","Hesperiidae","585215","1909","Show (ancien)"
"Satyrium pruni  (Linnaeus, 1758)","Lycaenidae","585215","2009","Show (ancien)"
"Satyrium w-album  (Knoch, 1782)","Lycaenidae","585215","2003","Show (ancien)"
"Speyeria aglaja  (Linnaeus, 1758)","Nymphalidae","585215","2021","Show (ancien)"
"Thecla betulae  (Linnaeus, 1758)","Lycaenidae","585215","2018","Show (ancien)"
"Thymelicus lineola  (Ochsenheimer, 1808)","Hesperiidae","585215","1996","Show (ancien)"
"Thymelicus sylvestris  (Poda, 1761)","Hesperiidae","585215","2003","Show (ancien)"
"Vanessa atalanta  (Linnaeus, 1758)","Nymphalidae","585215","2022","Show (ancien)"
"Vanessa cardui  (Linnaeus, 1758)","Nymphalidae","585215","2020","Show (ancien)"
"Zygaena filipendulae  (Linnaeus, 1758)","Zygaenidae","585215","2020","Show (ancien)"